"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","Umag","alphat","epsilon","k","nut","p","p_rgh","rho"
-12.486,-151.64,20,300,10.018,-0.47552,0.070557,10.03,0.28782,9.1127e-05,0.014255,0.19971,1.0133e+05,3.1939,1.225
25.013,-152.21,20,300,10.166,-0.54412,0.078093,10.181,0.29855,9.7665e-05,0.015012,0.20716,1.0133e+05,1.3325,1.225
12.513,-151.64,20,300,10.107,-0.54738,0.077524,10.123,0.2896,9.6601e-05,0.014665,0.20094,1.0133e+05,2.0879,1.225
50.011,-151.64,20,300,10.263,-0.56498,0.084897,10.28,0.30211,0.00010412,0.015535,0.20963,1.0133e+05,0.045211,1.225
37.512,-151.64,20,300,10.211,-0.58372,0.085184,10.229,0.29182,0.0001029,0.01513,0.20249,1.0133e+05,0.73669,1.225
75.066,-151.8,20,300,10.349,-0.57048,0.09129,10.365,0.30711,0.00011102,0.016112,0.2131,1.0132e+05,-1.1194,1.225
62.511,-151.65,20,300,10.307,-0.59172,0.092318,10.324,0.2951,0.00010974,0.015644,0.20476,1.0132e+05,-0.54352,1.225
100.01,-151.65,20,300,10.429,-0.57779,0.10053,10.446,0.31248,0.00011911,0.016774,0.21683,1.0132e+05,-2.1744,1.225
87.502,-151.87,20,300,10.387,-0.59772,0.10101,10.406,0.29944,0.00011741,0.016227,0.20777,1.0132e+05,-1.6341,1.225
125.01,-151.65,20,300,10.523,-0.57714,0.11092,10.54,0.31888,0.0001285,0.017544,0.22126,1.0132e+05,-3.3328,1.225
112.51,-151.65,20,300,10.474,-0.60681,0.11342,10.493,0.30436,0.00012661,0.016926,0.21119,1.0132e+05,-2.7348,1.225
